Frequency (Hz)	Level (dB)
800.781250	-50.935375
801.757812	-51.091286
802.734375	-51.876316
803.710938	-51.786373
804.687500	-51.444759
805.664062	-50.236115
806.640625	-49.862411
807.617188	-50.071342
808.593750	-51.005142
809.570312	-52.486309
810.546875	-52.548428
811.523438	-51.209496
812.500000	-50.470062
813.476562	-50.622292
814.453125	-50.767593
815.429688	-51.973881
816.406250	-50.378235
817.382812	-50.130791
818.359375	-49.936020
819.335938	-50.075809
820.312500	-50.921291
821.289062	-51.211414
822.265625	-50.679977
823.242188	-50.841667
824.218750	-51.138287
825.195312	-51.893013
826.171875	-51.924637
827.148438	-51.780411
828.125000	-52.981113
829.101562	-53.039822
830.078125	-52.023716
831.054688	-49.975124
832.031250	-50.712437
833.007812	-51.709145
833.984375	-51.468884
834.960938	-50.293880
835.937500	-51.561344
836.914062	-52.376064
837.890625	-52.775749
838.867188	-53.750122
839.843750	-51.963593
840.820312	-50.804028
841.796875	-49.119884
842.773438	-50.949219
843.750000	-51.423820
844.726562	-50.197712
845.703125	-50.036674
846.679688	-50.913948
847.656250	-52.362141
848.632812	-49.375614
849.609375	-49.541897
850.585938	-50.542542
851.562500	-51.966515
852.539062	-51.223839
853.515625	-50.775719
854.492188	-52.840126
855.468750	-51.248993
856.445312	-50.631470
857.421875	-50.034801
858.398438	-49.596653
859.375000	-49.967388
860.351562	-49.704369
861.328125	-50.291553
862.304688	-52.415119
863.281250	-50.653534
864.257812	-50.219902
865.234375	-50.127857
866.210938	-49.137753
867.187500	-49.320152
868.164062	-49.036705
869.140625	-48.758331
870.117188	-47.839520
871.093750	-48.341599
872.070312	-50.030453
873.046875	-49.841480
874.023438	-48.966072
875.000000	-49.075047
875.976562	-47.782318
876.953125	-46.612919
877.929688	-47.071850
878.906250	-47.505520
879.882812	-46.897739
880.859375	-46.438454
881.835938	-47.539757
882.812500	-46.858608
883.789062	-46.462372
884.765625	-46.532246
885.742188	-44.841927
886.718750	-44.739731
887.695312	-45.040886
888.671875	-46.969162
889.648438	-44.897274
890.625000	-44.248123
891.601562	-45.738316
892.578125	-45.527824
893.554688	-45.125057
894.531250	-46.326683
895.507812	-45.452229
896.484375	-44.042721
897.460938	-42.632069
898.437500	-42.694065
899.414062	-41.844906
900.390625	-41.061897
901.367188	-42.370956
902.343750	-41.547344
903.320312	-40.655071
904.296875	-38.896080
905.273438	-39.087280
906.250000	-40.472557
907.226562	-39.904270
908.203125	-38.653267
909.179688	-37.012947
910.156250	-36.221558
911.132812	-36.824940
912.109375	-36.367451
913.085938	-37.100277
914.062500	-34.922321
915.039062	-32.786873
916.015625	-33.045780
916.992188	-33.259510
917.968750	-32.080948
918.945312	-32.656925
919.921875	-31.838902
920.898438	-33.297390
921.875000	-33.682819
922.851562	-34.012299
923.828125	-34.881210
924.804688	-35.699863
925.781250	-36.043850
926.757812	-38.168331
927.734375	-37.974689
928.710938	-37.491024
929.687500	-38.694881
930.664062	-39.024227
931.640625	-40.144855
932.617188	-41.729244
933.593750	-40.452599
934.570312	-41.869507
935.546875	-42.046936
936.523438	-41.772255
937.500000	-42.649548
938.476562	-44.571968
939.453125	-44.803780
940.429688	-43.326874
941.406250	-44.346863
942.382812	-44.960670
943.359375	-44.818653
944.335938	-45.539444
945.312500	-47.350903
946.289062	-47.225887
947.265625	-45.635056
948.242188	-46.485580
949.218750	-46.753056
950.195312	-46.532455
