Frequency (Hz)	Level (dB)
708.007812	-46.625431
708.984375	-45.062870
709.960938	-47.774216
710.937500	-47.699924
711.914062	-47.278500
712.890625	-47.619576
713.867188	-47.768730
714.843750	-48.950947
715.820312	-48.321430
716.796875	-48.974182
717.773438	-48.224380
718.750000	-49.587322
719.726562	-49.562099
720.703125	-48.927746
721.679688	-47.692291
722.656250	-47.954723
723.632812	-49.252590
724.609375	-50.147167
725.585938	-50.751312
726.562500	-50.052586
727.539062	-50.438492
728.515625	-48.939953
729.492188	-48.931709
730.468750	-51.263386
731.445312	-51.498451
732.421875	-50.266842
733.398438	-48.896912
734.375000	-50.586937
735.351562	-51.568680
736.328125	-52.457310
737.304688	-52.261616
738.281250	-50.589333
739.257812	-51.325283
740.234375	-52.219177
741.210938	-52.550304
742.187500	-51.747963
743.164062	-52.387642
744.140625	-52.135738
745.117188	-52.992699
746.093750	-53.012417
747.070312	-51.455811
748.046875	-52.303230
749.023438	-51.314743
750.000000	-50.877628
750.976562	-51.790634
751.953125	-52.965038
752.929688	-51.346096
753.906250	-51.957916
754.882812	-53.192265
755.859375	-52.751625
756.835938	-52.332603
757.812500	-53.430786
758.789062	-53.045586
759.765625	-53.004574
760.742188	-52.711575
761.718750	-52.943439
762.695312	-52.762035
763.671875	-52.890579
764.648438	-52.337933
765.625000	-52.350800
766.601562	-52.682976
767.578125	-52.324402
768.554688	-53.491501
769.531250	-52.949486
770.507812	-52.793980
771.484375	-53.765930
772.460938	-53.388374
773.437500	-53.278000
774.414062	-52.757294
775.390625	-53.542885
776.367188	-53.179623
777.343750	-52.386513
778.320312	-53.343040
779.296875	-53.384060
780.273438	-54.305225
781.250000	-54.975307
782.226562	-54.938126
783.203125	-53.721180
784.179688	-53.920856
785.156250	-53.832520
786.132812	-53.875256
787.109375	-54.677025
788.085938	-54.164001
789.062500	-53.535419
790.039062	-53.835602
791.015625	-53.011795
791.992188	-53.290218
792.968750	-52.944744
793.945312	-54.773773
794.921875	-54.653557
795.898438	-53.513977
796.875000	-53.527416
797.851562	-53.650078
798.828125	-53.317585
799.804688	-54.077244
800.781250	-53.576389
801.757812	-54.135902
802.734375	-53.102859
803.710938	-53.635117
804.687500	-54.430141
805.664062	-53.027882
806.640625	-52.051899
807.617188	-51.787838
808.593750	-52.275776
809.570312	-53.571159
810.546875	-54.502922
811.523438	-53.211536
812.500000	-52.439621
