Frequency (Hz)	Level (dB)
603.515625	-49.678925
604.492188	-50.109436
605.468750	-50.344585
606.445312	-50.464970
607.421875	-52.108326
608.398438	-49.146030
609.375000	-49.833351
610.351562	-50.812370
611.328125	-51.973034
612.304688	-51.328835
613.281250	-50.723370
614.257812	-50.897884
615.234375	-49.563831
616.210938	-50.373432
617.187500	-50.042271
618.164062	-49.885975
619.140625	-50.621235
620.117188	-50.718521
621.093750	-51.039402
622.070312	-51.341793
623.046875	-51.662331
624.023438	-51.751278
625.000000	-51.950745
625.976562	-51.113472
626.953125	-50.796787
627.929688	-50.133648
628.906250	-49.984573
629.882812	-49.873531
630.859375	-51.130371
631.835938	-50.200333
632.812500	-49.865879
633.789062	-49.702496
634.765625	-50.041580
635.742188	-50.713108
636.718750	-51.292664
637.695312	-50.661224
638.671875	-49.360023
639.648438	-49.173969
640.625000	-49.181946
641.601562	-49.191948
642.578125	-49.154774
643.554688	-49.427692
644.531250	-49.654835
645.507812	-49.701180
646.484375	-49.303776
647.460938	-49.029598
648.437500	-49.309311
649.414062	-49.664986
650.390625	-49.715405
651.367188	-50.281849
652.343750	-50.158039
653.320312	-49.701080
654.296875	-49.310226
655.273438	-49.319572
656.250000	-50.105053
657.226562	-49.429131
658.203125	-48.678123
659.179688	-48.511272
660.156250	-46.812271
661.132812	-47.458179
662.109375	-48.232620
663.085938	-49.015388
664.062500	-47.844776
665.039062	-49.677773
666.015625	-50.664940
666.992188	-48.493256
667.968750	-48.005077
668.945312	-50.222580
669.921875	-49.444126
670.898438	-48.285473
671.875000	-49.353642
672.851562	-48.533615
673.828125	-49.045055
674.804688	-48.628567
675.781250	-49.189312
676.757812	-50.170971
677.734375	-49.607716
678.710938	-48.376476
679.687500	-47.686344
680.664062	-48.123543
681.640625	-48.964417
682.617188	-50.635006
683.593750	-49.881855
684.570312	-49.747753
685.546875	-48.655186
686.523438	-50.636383
687.500000	-50.395573
688.476562	-49.334614
689.453125	-49.155365
690.429688	-49.291924
691.406250	-49.364101
692.382812	-49.949383
693.359375	-49.487881
694.335938	-47.871105
695.312500	-48.429462
696.289062	-47.940472
697.265625	-48.110107
698.242188	-50.349297
699.218750	-48.770828
700.195312	-49.716038
701.171875	-49.119492
702.148438	-48.647480
703.125000	-48.472267
704.101562	-48.553947
705.078125	-48.226238
706.054688	-47.838715
707.031250	-49.933044
708.007812	-49.523319
708.984375	-47.652721
709.960938	-48.851013
710.937500	-48.861191
711.914062	-49.224823
712.890625	-48.729797
713.867188	-49.460697
714.843750	-49.648102
715.820312	-50.109116
716.796875	-51.079830
717.773438	-49.730728
718.750000	-50.353973
719.726562	-49.765869
720.703125	-48.406803
721.679688	-47.754250
722.656250	-47.640316
723.632812	-48.023396
724.609375	-50.093700
725.585938	-49.032516
726.562500	-49.020603
727.539062	-49.565514
728.515625	-48.668823
729.492188	-48.947819
730.468750	-49.108570
731.445312	-48.843449
732.421875	-48.724129
733.398438	-48.547665
734.375000	-49.270489
735.351562	-48.608791
736.328125	-48.895901
737.304688	-49.903744
738.281250	-48.895378
739.257812	-49.323689
740.234375	-49.610794
741.210938	-49.789944
742.187500	-49.679474
743.164062	-50.231934
744.140625	-48.999233
745.117188	-49.811985
746.093750	-49.492958
747.070312	-48.290665
748.046875	-48.353058
749.023438	-48.598869
750.000000	-46.878025
750.976562	-47.970394
751.953125	-50.060223
752.929688	-49.702953
753.906250	-48.527836
754.882812	-50.371723
755.859375	-49.148365
756.835938	-50.410652
757.812500	-52.295940
758.789062	-50.886532
759.765625	-50.204262
760.742188	-50.433155
761.718750	-50.319542
762.695312	-48.666061
763.671875	-49.759762
764.648438	-49.361027
765.625000	-49.541958
766.601562	-48.431255
767.578125	-49.807854
768.554688	-49.508873
769.531250	-49.114822
770.507812	-50.437565
771.484375	-50.779114
772.460938	-50.323650
773.437500	-49.406090
774.414062	-50.124332
775.390625	-50.573978
776.367188	-49.191513
777.343750	-50.257496
778.320312	-50.431496
779.296875	-49.785831
780.273438	-50.712639
781.250000	-50.514652
782.226562	-51.083836
783.203125	-50.208706
784.179688	-50.672184
785.156250	-49.865257
786.132812	-49.408566
787.109375	-51.672020
788.085938	-52.083469
789.062500	-50.691952
790.039062	-50.483089
791.015625	-49.788399
791.992188	-50.078430
792.968750	-49.617401
793.945312	-50.905209
794.921875	-51.080128
795.898438	-50.006073
796.875000	-49.993687
797.851562	-50.060680
798.828125	-49.762966
799.804688	-50.946545
800.781250	-49.662201
801.757812	-51.098213
802.734375	-50.552853
803.710938	-50.819458
804.687500	-50.526070
805.664062	-49.590607
806.640625	-48.573219
807.617188	-48.261955
808.593750	-49.714767
809.570312	-50.683937
810.546875	-51.764957
811.523438	-49.476120
812.500000	-48.951698
813.476562	-49.551399
814.453125	-51.137249
815.429688	-50.513039
816.406250	-50.570080
817.382812	-50.162670
818.359375	-50.425755
819.335938	-48.440445
820.312500	-49.208015
821.289062	-49.865036
822.265625	-49.473751
823.242188	-50.881695
824.218750	-49.847157
825.195312	-51.645557
826.171875	-50.864006
827.148438	-51.314342
828.125000	-52.101009
829.101562	-51.918171
830.078125	-51.242893
831.054688	-50.033848
832.031250	-50.266712
833.007812	-52.008274
833.984375	-50.706425
834.960938	-50.566334
835.937500	-51.385704
836.914062	-52.185383
837.890625	-53.581974
838.867188	-52.427380
839.843750	-51.307724
840.820312	-50.686253
841.796875	-50.186604
842.773438	-51.533485
843.750000	-51.436596
844.726562	-51.192410
845.703125	-51.080208
846.679688	-51.274227
847.656250	-52.403324
848.632812	-50.242828
849.609375	-51.467579
850.585938	-52.218033
851.562500	-53.487617
852.539062	-52.880203
853.515625	-52.276958
