Frequency (Hz)	Level (dB)
704.101562	-48.371189
705.078125	-47.145592
706.054688	-47.335499
707.031250	-48.776115
708.007812	-48.123558
708.984375	-46.567375
709.960938	-49.660641
710.937500	-48.576096
711.914062	-47.597061
712.890625	-48.894436
713.867188	-48.822155
714.843750	-49.984356
715.820312	-50.245163
716.796875	-50.447506
717.773438	-49.166435
718.750000	-48.031357
719.726562	-48.319199
720.703125	-48.382019
721.679688	-47.036423
722.656250	-46.199528
723.632812	-48.864780
724.609375	-49.404797
725.585938	-49.275932
726.562500	-49.430931
727.539062	-48.902355
728.515625	-48.961872
729.492188	-48.034924
730.468750	-49.725952
731.445312	-49.365253
732.421875	-50.304169
733.398438	-48.830601
734.375000	-48.248974
735.351562	-50.027027
736.328125	-49.142387
737.304688	-49.508419
738.281250	-49.684696
739.257812	-50.428467
740.234375	-50.317562
741.210938	-49.503506
742.187500	-50.231239
743.164062	-50.041023
744.140625	-49.273766
745.117188	-49.795696
746.093750	-49.683659
747.070312	-48.629059
748.046875	-48.401787
749.023438	-48.648556
750.000000	-48.645313
750.976562	-48.375286
751.953125	-49.573292
752.929688	-48.601242
753.906250	-49.313488
754.882812	-48.968746
755.859375	-49.062489
756.835938	-49.697968
757.812500	-49.440659
758.789062	-49.173595
759.765625	-50.856522
760.742188	-49.951801
761.718750	-49.879936
762.695312	-48.835670
763.671875	-49.007698
764.648438	-49.153378
765.625000	-48.905460
766.601562	-47.661488
767.578125	-48.432869
768.554688	-50.009636
769.531250	-48.380775
770.507812	-49.566723
771.484375	-48.792938
772.460938	-48.256199
773.437500	-48.933842
774.414062	-49.347965
775.390625	-49.451477
776.367188	-48.642124
777.343750	-48.120983
778.320312	-48.919186
779.296875	-48.635181
780.273438	-48.816498
781.250000	-49.124943
782.226562	-49.060524
783.203125	-48.520302
784.179688	-48.788441
785.156250	-47.365440
786.132812	-47.661644
787.109375	-49.971931
788.085938	-49.039734
789.062500	-47.207207
790.039062	-47.301601
791.015625	-47.251034
791.992188	-46.320919
792.968750	-46.137356
793.945312	-48.301769
794.921875	-47.914562
795.898438	-46.323154
796.875000	-46.265999
797.851562	-46.278526
798.828125	-45.204933
799.804688	-46.624882
800.781250	-46.340473
801.757812	-45.273640
802.734375	-45.749512
803.710938	-45.982880
804.687500	-45.029278
805.664062	-44.731239
806.640625	-43.557053
807.617188	-43.149151
808.593750	-44.416943
809.570312	-45.047131
810.546875	-44.775944
811.523438	-42.995655
812.500000	-43.220535
813.476562	-43.612762
814.453125	-44.158634
815.429688	-43.547363
816.406250	-41.830513
817.382812	-41.882328
818.359375	-42.112652
819.335938	-40.596794
820.312500	-41.491634
821.289062	-42.006763
822.265625	-40.364933
823.242188	-40.139843
824.218750	-40.094078
825.195312	-41.272987
826.171875	-41.067326
827.148438	-41.152985
828.125000	-41.419266
829.101562	-41.713005
830.078125	-40.949326
831.054688	-38.962959
832.031250	-38.217098
833.007812	-39.842358
833.984375	-38.287460
834.960938	-37.555710
835.937500	-38.017979
836.914062	-39.087643
837.890625	-39.249207
838.867188	-39.898830
839.843750	-37.816078
840.820312	-36.610630
841.796875	-35.905201
842.773438	-36.666851
843.750000	-37.777588
844.726562	-36.827183
845.703125	-36.156330
846.679688	-36.361305
847.656250	-38.948456
848.632812	-36.421474
849.609375	-36.233509
850.585938	-37.629276
851.562500	-38.977459
852.539062	-38.764168
853.515625	-38.335316
854.492188	-39.696480
855.468750	-38.649925
856.445312	-38.418228
857.421875	-38.509029
858.398438	-38.798988
859.375000	-39.162975
860.351562	-40.218094
861.328125	-40.351360
862.304688	-42.430523
863.281250	-42.262367
864.257812	-41.055222
865.234375	-42.948891
866.210938	-39.979641
867.187500	-40.392059
868.164062	-41.360031
869.140625	-41.235352
870.117188	-41.411163
871.093750	-41.384151
872.070312	-42.304504
873.046875	-42.260925
874.023438	-42.175678
875.000000	-41.850796
875.976562	-41.634216
876.953125	-42.172234
877.929688	-41.626354
878.906250	-43.211761
879.882812	-42.557896
880.859375	-42.055744
881.835938	-42.754345
882.812500	-43.228767
883.789062	-43.898197
884.765625	-44.922417
885.742188	-43.979355
886.718750	-43.597980
887.695312	-43.483269
888.671875	-44.204323
889.648438	-44.399746
890.625000	-44.707203
891.601562	-44.124390
892.578125	-45.124611
893.554688	-46.354836
894.531250	-47.701515
895.507812	-47.266346
896.484375	-46.813992
897.460938	-45.533184
898.437500	-45.942310
899.414062	-45.821037
900.390625	-46.324448
901.367188	-47.546936
902.343750	-46.842983
903.320312	-46.712788
904.296875	-45.484013
905.273438	-46.353065
906.250000	-47.476868
907.226562	-47.316097
908.203125	-49.183182
909.179688	-48.434555
910.156250	-48.058952
911.132812	-48.653828
912.109375	-48.550507
913.085938	-49.759266
914.062500	-48.593384
915.039062	-47.225754
916.015625	-48.376324
916.992188	-49.781071
917.968750	-49.656406
918.945312	-50.564075
919.921875	-49.257942
920.898438	-50.454773
921.875000	-50.176163
922.851562	-48.903343
923.828125	-48.459030
924.804688	-50.370483
925.781250	-51.273689
926.757812	-51.926064
927.734375	-50.544682
928.710938	-49.824856
929.687500	-50.638348
930.664062	-49.466972
931.640625	-49.952034
932.617188	-51.397560
933.593750	-51.119045
934.570312	-51.750736
935.546875	-50.871326
936.523438	-51.373455
937.500000	-51.225277
938.476562	-51.845493
939.453125	-52.011967
940.429688	-50.678219
941.406250	-52.431751
942.382812	-52.555191
943.359375	-51.692955
944.335938	-50.813480
945.312500	-50.545673
946.289062	-51.382935
947.265625	-51.601116
948.242188	-50.772339
949.218750	-51.459637
950.195312	-52.362427
951.171875	-50.860905
952.148438	-51.569653
953.125000	-51.919930
954.101562	-51.417278
955.078125	-51.447552
956.054688	-51.789070
957.031250	-51.259331
958.007812	-52.963516
958.984375	-51.602783
959.960938	-51.321922
960.937500	-53.823418
961.914062	-53.877876
962.890625	-53.722286
963.867188	-52.959351
964.843750	-52.197300
965.820312	-51.737659
966.796875	-50.996227
967.773438	-52.761406
968.750000	-54.961590
969.726562	-51.982975
970.703125	-51.545456
971.679688	-53.096634
972.656250	-53.122124
973.632812	-52.801956
974.609375	-52.138374
975.585938	-52.482338
976.562500	-52.486725
977.539062	-51.081955
978.515625	-52.164753
979.492188	-54.498867
980.468750	-54.812382
981.445312	-54.352226
982.421875	-53.241425
983.398438	-51.630707
984.375000	-51.387062
985.351562	-52.588501
986.328125	-52.876278
987.304688	-52.855644
988.281250	-52.454033
989.257812	-52.402256
990.234375	-52.371647
991.210938	-52.733555
992.187500	-53.596535
993.164062	-52.270260
994.140625	-51.574303
995.117188	-51.896015
996.093750	-53.965302
997.070312	-53.441853
998.046875	-52.622738
999.023438	-52.754192
1000.000000	-53.627670
1000.976562	-52.530113
1001.953125	-52.216728
1002.929688	-52.942787
1003.906250	-53.311085
1004.882812	-52.637775
1005.859375	-52.450993
1006.835938	-52.471802
1007.812500	-53.275639
1008.789062	-53.031391
1009.765625	-52.686123
1010.742188	-51.493462
1011.718750	-51.379288
1012.695312	-52.056522
1013.671875	-52.655128
1014.648438	-52.677837
1015.625000	-53.275242
1016.601562	-51.224945
1017.578125	-50.547104
1018.554688	-51.186085
1019.531250	-51.798275
1020.507812	-51.917683
1021.484375	-54.051502
1022.460938	-52.815910
1023.437500	-50.136150
1024.414062	-50.464111
1025.390625	-51.330471
1026.367188	-52.299801
1027.343750	-50.327568
1028.320312	-51.353436
1029.296875	-53.250618
1030.273438	-51.812157
1031.250000	-50.654171
1032.226562	-51.875717
1033.203125	-51.115265
1034.179688	-50.566856
1035.156250	-50.406651
1036.132812	-49.339211
1037.109375	-50.166645
1038.085938	-49.919159
1039.062500	-50.287624
1040.039062	-49.720043
1041.015625	-49.507626
1041.992188	-50.891605
1042.968750	-51.147060
1043.945312	-50.169540
1044.921875	-50.275421
1045.898438	-50.149277
1046.875000	-48.966301
1047.851562	-48.972321
1048.828125	-48.517513
1049.804688	-49.479225
1050.781250	-49.104767
1051.757812	-50.423939
1052.734375	-48.889236
1053.710938	-48.145786
1054.687500	-49.653698
1055.664062	-50.475445
1056.640625	-48.728333
1057.617188	-48.586353
1058.593750	-49.013546
1059.570312	-48.017368
1060.546875	-47.376591
1061.523438	-46.935131
1062.500000	-46.888710
1063.476562	-46.336510
1064.453125	-45.799465
1065.429688	-46.774448
1066.406250	-48.124908
1067.382812	-47.785042
1068.359375	-45.998249
1069.335938	-46.455803
1070.312500	-46.251713
1071.289062	-47.151020
1072.265625	-46.369095
1073.242188	-44.797630
1074.218750	-43.977997
1075.195312	-45.509552
1076.171875	-45.804440
1077.148438	-44.401859
1078.125000	-44.622341
1079.101562	-43.866577
1080.078125	-42.563339
1081.054688	-42.893589
1082.031250	-42.749592
1083.007812	-40.066341
1083.984375	-41.408432
1084.960938	-41.075356
1085.937500	-40.467697
1086.914062	-40.685059
1087.890625	-40.128380
1088.867188	-40.028824
1089.843750	-38.778637
1090.820312	-38.913342
1091.796875	-38.155128
1092.773438	-36.834774
1093.750000	-34.965878
1094.726562	-36.801910
1095.703125	-36.086811
1096.679688	-35.217651
1097.656250	-33.652393
1098.632812	-33.612263
1099.609375	-33.520168
1100.585938	-33.763832
1101.562500	-34.330765
1102.539062	-33.040592
1103.515625	-33.460587
1104.492188	-34.688644
1105.468750	-35.212528
1106.445312	-33.925228
1107.421875	-34.951839
1108.398438	-35.112907
1109.375000	-36.852444
1110.351562	-37.732471
1111.328125	-37.243343
1112.304688	-39.388195
1113.281250	-39.630939
1114.257812	-39.594547
1115.234375	-39.713085
1116.210938	-39.700062
1117.187500	-40.127373
1118.164062	-40.562317
1119.140625	-41.545082
1120.117188	-40.482594
1121.093750	-40.883522
1122.070312	-43.171486
1123.046875	-43.447449
1124.023438	-43.170906
1125.000000	-44.791069
1125.976562	-45.110168
1126.953125	-43.851185
1127.929688	-44.009701
1128.906250	-44.579414
1129.882812	-43.853458
1130.859375	-43.934303
1131.835938	-45.953819
1132.812500	-48.087742
1133.789062	-45.898911
1134.765625	-47.325748
1135.742188	-47.065754
1136.718750	-46.963314
1137.695312	-45.874809
1138.671875	-48.139904
1139.648438	-48.698624
1140.625000	-48.049747
1141.601562	-48.159649
1142.578125	-48.533546
1143.554688	-49.211987
1144.531250	-49.063766
1145.507812	-49.509762
1146.484375	-49.899975
